x,y,label
22.82217,-0.45751,0.00000
2.57497,26.95911,0.00000
8.11376,25.50393,0.00000
16.93266,16.18962,0.00000
13.99512,-13.52101,0.00000
13.83094,-11.54919,0.00000
21.66919,-5.13298,0.00000
-28.54416,5.72409,0.00000
15.39248,17.59281,0.00000
-0.45355,-16.42058,0.00000
17.61850,-21.52813,1.00000
22.17896,4.82553,0.00000
-22.42160,2.39713,1.00000
-24.40398,14.60756,0.00000
-14.51720,-20.69818,1.00000
25.40335,-16.08078,1.00000
-17.08892,21.85001,0.00000
-21.50378,4.43995,1.00000
-20.33204,-8.33199,1.00000
-8.83767,-23.70465,1.00000
21.85638,5.52063,0.00000
-2.19905,18.55751,1.00000
-24.00074,17.58098,0.00000
-21.40303,-1.41162,1.00000
-7.07163,-25.32615,1.00000
0.21385,-17.60489,0.00000
-12.28881,3.93130,0.00000
8.63386,24.52426,0.00000
17.43071,-23.47141,1.00000
23.08517,3.33346,0.00000
13.53827,3.89165,1.00000
19.23059,12.50699,0.00000
11.33927,6.34314,1.00000
12.49192,6.62315,1.00000
-6.02807,8.92929,0.00000
16.83499,-8.01079,0.00000
-15.90584,-20.58372,1.00000
10.48419,22.24629,0.00000
9.70769,-17.48610,0.00000
7.30302,-10.05396,1.00000
-16.33090,-18.12934,1.00000
19.48953,-8.06323,0.00000
-20.00172,21.52083,0.00000
-15.40676,-17.90730,1.00000
-16.99667,22.73510,0.00000
-10.69943,-9.29791,0.00000
-2.95814,-25.07563,1.00000
-7.91399,25.61499,0.00000
4.48684,-16.77659,0.00000
22.57833,7.12638,0.00000
21.51566,5.23290,0.00000
-18.94762,10.81428,1.00000
-2.26609,-26.19390,1.00000
29.14700,-9.31528,1.00000
14.22251,3.16068,1.00000
-14.52570,14.90205,1.00000
3.61600,-26.68415,1.00000
5.65681,25.84273,0.00000
-30.80433,5.26661,0.00000
4.59137,14.94994,1.00000
-5.48093,16.12399,1.00000
8.43821,-6.34764,1.00000
4.32796,14.93300,1.00000
-20.55014,20.80122,0.00000
11.93008,8.43780,1.00000
12.95744,22.75321,0.00000
2.72442,-25.86579,1.00000
-1.53574,17.33650,1.00000
-19.95886,-0.82804,1.00000
-3.74567,-25.20814,1.00000
2.80363,7.11286,0.00000
23.54513,1.26792,0.00000
17.21712,-10.65705,0.00000
-21.62376,19.49109,0.00000
-13.94105,23.77922,0.00000
1.48342,5.31388,0.00000
12.48794,4.24233,1.00000
7.55255,25.58856,0.00000
-3.49406,-16.11958,0.00000
20.84556,10.04571,0.00000
-23.07921,0.47646,1.00000
32.29207,-0.07809,1.00000
9.75447,23.83353,0.00000
-21.58176,-10.70860,1.00000
1.21103,-8.44688,1.00000
-13.48562,-9.70004,0.00000
21.27688,-17.15351,1.00000
-6.33451,5.72908,0.00000
12.97207,-25.77595,1.00000
19.57460,11.85233,0.00000
-22.97110,-5.88951,1.00000
5.80325,26.01652,0.00000
-1.64142,-25.73094,1.00000
-0.41572,18.48991,1.00000
-11.33047,-10.60095,0.00000
18.90342,-6.87339,0.00000
22.63081,6.97915,0.00000
11.21794,-5.28832,1.00000
9.15037,-16.17896,0.00000
-7.25121,3.95096,0.00000
21.34360,-2.40025,0.00000
21.77147,6.61080,0.00000
-22.41235,-9.88418,1.00000
12.59618,-3.61319,1.00000
-3.51937,-2.47311,1.00000
26.61402,-14.03642,1.00000
-1.53595,25.74192,0.00000
-9.81826,-23.38324,1.00000
14.44483,4.25523,1.00000
4.42438,-18.08786,0.00000
15.91446,-12.86931,0.00000
27.01016,-12.53290,1.00000
-11.64586,-21.96474,1.00000
-28.84598,6.10818,0.00000
26.09249,-12.40955,1.00000
23.08348,0.79153,0.00000
-25.23846,17.56420,0.00000
11.11059,-15.45436,0.00000
-29.49941,7.93452,0.00000
12.71705,-2.51962,1.00000
-27.26034,10.70695,0.00000
